frame_idx,size,pix2pix_ms,grace_enc_ms
358,818,16,152
359,765,16,152
360,866,16,151
361,1214,16,151
362,1411,16,151
363,1332,16,151
364,960,15,151
365,983,16,151
366,1105,16,152
367,1161,16,152
368,830,15,152
369,787,16,152
370,842,16,154
371,1212,15,152
372,1024,16,151
373,904,16,153
374,1198,16,151
375,1646,16,153
376,1581,16,152
377,1827,15,150
378,1920,15,150
379,1770,16,150
380,1729,16,153
381,1609,16,151
382,1273,16,161
383,1175,15,162
384,1965,16,151
385,2038,16,152
386,1398,16,150
387,1956,16,152
388,1687,16,151
389,1301,16,151
390,1225,16,152
391,1314,16,152
392,1035,15,152
393,1104,16,152
394,1857,16,156
395,1786,16,152
396,1654,15,151
397,1276,15,167
398,1369,15,157
399,1601,16,152
